id,platform,problem_id,name,url,tags,rating,contest_id,solved_count,point,difficulty,cf_scaled_difficulty
codeforces_2106_F,Codeforces,F,Goblin,https://codeforces.com/problemset/problem/2106/F,"['dfs and similar', 'dp', 'dsu', 'greedy', 'math']",1900.0,2106,3279,,,1900.0
codeforces_2106_E,Codeforces,E,Wolf,https://codeforces.com/problemset/problem/2106/E,"['binary search', 'greedy', 'math']",1800.0,2106,4655,,,1800.0
codeforces_2106_D,Codeforces,D,Flower Boy,https://codeforces.com/problemset/problem/2106/D,"['binary search', 'dp', 'greedy', 'two pointers']",1500.0,2106,9445,,,1500.0
codeforces_2106_C,Codeforces,C,Cherry Bomb,https://codeforces.com/problemset/problem/2106/C,"['greedy', 'math', 'sortings']",1000.0,2106,20639,,,1000.0
codeforces_2106_B,Codeforces,B,St. Chroma,https://codeforces.com/problemset/problem/2106/B,"['constructive algorithms', 'greedy', 'math']",900.0,2106,23422,,,900.0
codeforces_2106_A,Codeforces,A,Dr. TC,https://codeforces.com/problemset/problem/2106/A,"['brute force', 'math']",800.0,2106,30837,,,800.0
codeforces_2104_G,Codeforces,G,Modulo 3,https://codeforces.com/problemset/problem/2104/G,"['data structures', 'divide and conquer', 'dsu', 'graphs', 'trees']",2700.0,2104,337,,,2700.0
codeforces_2104_F,Codeforces,F,Numbers and Strings,https://codeforces.com/problemset/problem/2104/F,"['binary search', 'brute force', 'dfs and similar', 'dp', 'implementation', 'math']",2600.0,2104,539,,,2600.0
codeforces_2104_E,Codeforces,E,Unpleasant Strings,https://codeforces.com/problemset/problem/2104/E,"['binary search', 'dp', 'greedy', 'strings']",1700.0,2104,6222,,,1700.0
codeforces_2104_D,Codeforces,D,Array and GCD,https://codeforces.com/problemset/problem/2104/D,"['binary search', 'greedy', 'math', 'number theory']",1400.0,2104,10329,,,1400.0
codeforces_2104_C,Codeforces,C,Card Game,https://codeforces.com/problemset/problem/2104/C,"['brute force', 'constructive algorithms', 'games', 'greedy', 'math']",1100.0,2104,14284,,,1100.0
codeforces_2104_B,Codeforces,B,Move to the End,https://codeforces.com/problemset/problem/2104/B,"['brute force', 'data structures', 'dp', 'greedy', 'implementation']",1000.0,2104,16514,,,1000.0
codeforces_2104_A,Codeforces,A,Three Decks,https://codeforces.com/problemset/problem/2104/A,['math'],800.0,2104,21602,,,800.0
codeforces_2103_F,Codeforces,F,Maximize Nor,https://codeforces.com/problemset/problem/2103/F,"['bitmasks', 'data structures', 'dp', 'implementation', 'sortings']",2600.0,2103,470,,,2600.0
codeforces_2103_E,Codeforces,E,Keep the Sum,https://codeforces.com/problemset/problem/2103/E,"['constructive algorithms', 'implementation', 'two pointers']",2600.0,2103,425,,,2600.0
codeforces_2103_D,Codeforces,D,Local Construction,https://codeforces.com/problemset/problem/2103/D,"['constructive algorithms', 'dfs and similar', 'implementation', 'two pointers']",2000.0,2103,3166,,,2000.0
codeforces_2103_C,Codeforces,C,Median Splits,https://codeforces.com/problemset/problem/2103/C,"['binary search', 'greedy', 'implementation', 'sortings']",1600.0,2103,8442,,,1600.0
codeforces_2103_B,Codeforces,B,Binary Typewriter,https://codeforces.com/problemset/problem/2103/B,"['greedy', 'math']",1100.0,2103,14978,,,1100.0
codeforces_2103_A,Codeforces,A,Common Multiple,https://codeforces.com/problemset/problem/2103/A,"['brute force', 'greedy', 'implementation', 'math']",800.0,2103,21843,,,800.0
codeforces_2102_B,Codeforces,B,The Picky Cat,https://codeforces.com/problemset/problem/2102/B,"['implementation', 'sortings']",900.0,2102,15958,,,900.0
codeforces_2102_A,Codeforces,A,Dinner Time,https://codeforces.com/problemset/problem/2102/A,"['constructive algorithms', 'math']",900.0,2102,17354,,,900.0
codeforces_2101_F,Codeforces,F,Shoo Shatters the Sunshine,https://codeforces.com/problemset/problem/2101/F,"['combinatorics', 'dp', 'trees']",3300.0,2101,88,,,3300.0
codeforces_2101_E,Codeforces,E,Kia Bakes a Cake,https://codeforces.com/problemset/problem/2101/E,"['data structures', 'dp', 'greedy', 'trees']",3100.0,2101,167,,,3100.0
codeforces_2101_D,Codeforces,D,Mani and Segments,https://codeforces.com/problemset/problem/2101/D,"['data structures', 'implementation', 'sortings', 'two pointers']",2500.0,2101,706,,,2500.0
codeforces_2101_C,Codeforces,C,23 Kingdom,https://codeforces.com/problemset/problem/2101/C,"['binary search', 'brute force', 'data structures', 'greedy', 'ternary search', 'two pointers']",2200.0,2101,1646,,,2200.0
codeforces_2101_B,Codeforces,B,Quartet Swapping,https://codeforces.com/problemset/problem/2101/B,"['brute force', 'data structures', 'divide and conquer', 'greedy', 'sortings']",1800.0,2101,5323,,,1800.0
codeforces_2101_A,Codeforces,A,Mex in the Grid,https://codeforces.com/problemset/problem/2101/A,"['constructive algorithms', 'implementation']",1300.0,2101,11048,,,1300.0
codeforces_2098_B,Codeforces,B,Sasha and the Apartment Purchase,https://codeforces.com/problemset/problem/2098/B,"['math', 'sortings']",1400.0,2098,5883,,,1400.0
codeforces_2098_A,Codeforces,A,Vadim's Collection,https://codeforces.com/problemset/problem/2098/A,"['brute force', 'greedy']",800.0,2098,12115,,,800.0
codeforces_2097_F,Codeforces,F,Lost Luggage,https://codeforces.com/problemset/problem/2097/F,"['dp', 'flows']",3500.0,2097,75,,,3500.0
codeforces_2097_E,Codeforces,E,Clearing the Snowdrift,https://codeforces.com/problemset/problem/2097/E,"['data structures', 'dfs and similar', 'dp', 'greedy']",3100.0,2097,140,,,3100.0
codeforces_2097_D,Codeforces,D,Homework,https://codeforces.com/problemset/problem/2097/D,"['bitmasks', 'math', 'matrices']",2800.0,2097,342,,,2800.0
codeforces_2097_C,Codeforces,C,Bermuda Triangle,https://codeforces.com/problemset/problem/2097/C,"['chinese remainder theorem', 'geometry', 'implementation', 'math', 'number theory']",2400.0,2097,720,,,2400.0
codeforces_2097_B,Codeforces,B,Baggage Claim,https://codeforces.com/problemset/problem/2097/B,"['combinatorics', 'dfs and similar', 'dp', 'dsu', 'graphs', 'implementation', 'math', 'trees']",2300.0,2097,1376,,,2300.0
codeforces_2097_A,Codeforces,A,Sports Betting,https://codeforces.com/problemset/problem/2097/A,"['2-sat', 'brute force', 'math', 'sortings']",1400.0,2097,6422,,,1400.0
codeforces_2096_H,Codeforces,H,Wonderful XOR Problem,https://codeforces.com/problemset/problem/2096/H,"['bitmasks', 'combinatorics', 'dp', 'fft', 'math']",3200.0,2096,119,,,3200.0
codeforces_2096_G,Codeforces,G,Wonderful Guessing Game,https://codeforces.com/problemset/problem/2096/G,"['bitmasks', 'constructive algorithms', 'interactive']",3200.0,2096,278,,,3200.0
codeforces_2096_F,Codeforces,F,Wonderful Impostors,https://codeforces.com/problemset/problem/2096/F,"['data structures', 'implementation', 'two pointers']",3100.0,2096,338,,,3100.0
codeforces_2096_E,Codeforces,E,Wonderful Teddy Bears,https://codeforces.com/problemset/problem/2096/E,"['greedy', 'implementation', 'sortings']",2400.0,2096,1672,,,2400.0
codeforces_2096_D,Codeforces,D,Wonderful Lightbulbs,https://codeforces.com/problemset/problem/2096/D,"['combinatorics', 'constructive algorithms', 'math']",2000.0,2096,4484,,,2000.0
codeforces_2096_C,Codeforces,C,Wonderful City,https://codeforces.com/problemset/problem/2096/C,"['dp', 'implementation']",1700.0,2096,6355,,,1700.0
codeforces_2096_B,Codeforces,B,Wonderful Gloves,https://codeforces.com/problemset/problem/2096/B,"['greedy', 'math', 'sortings']",1100.0,2096,14223,,,1100.0
codeforces_2096_A,Codeforces,A,Wonderful Sticks,https://codeforces.com/problemset/problem/2096/A,"['constructive algorithms', 'greedy']",800.0,2096,18529,,,800.0
codeforces_2095_J,Codeforces,J,Premiere at a Wrong Time,https://codeforces.com/problemset/problem/2095/J,['*special'],,2095,410,,,
codeforces_2095_I,Codeforces,I,Mysterious Script,https://codeforces.com/problemset/problem/2095/I,"['*special', 'expression parsing', 'number theory']",,2095,571,,,
codeforces_2095_H,Codeforces,H,Blurry Vision,https://codeforces.com/problemset/problem/2095/H,"['*special', 'fft', 'math']",,2095,688,,,
codeforces_2095_G,Codeforces,G,Definitely a Geometry Problem,https://codeforces.com/problemset/problem/2095/G,"['*special', 'geometry']",,2095,853,,,
codeforces_2095_F,Codeforces,F,⅓ оf а Рrоblеm,https://codeforces.com/problemset/problem/2095/F,"['*special', 'math']",,2095,661,,,
codeforces_2095_E,Codeforces,E,Pair Count,https://codeforces.com/problemset/problem/2095/E,"['*special', 'number theory']",,2095,682,,,
